step_start,step_end,mode,avg_time_s,tflops_per_gpu,loss
970,979,native,0.34711,134.8,12.004139
980,989,mori,0.334684,139.8,11.988501
980,989,native,0.346119,135.19,11.988501
990,999,mori,0.32361,144.59,11.991565
990,999,native,0.347686,134.58,11.991565
1000,1009,mori,0.311771,150.08,11.989509
1000,1009,native,0.347325,134.72,11.989509
1010,1019,mori,0.312423,149.77,11.98409
1010,1019,native,0.346595,135.0,11.98409
1020,1029,mori,0.313762,149.13,12.004263
1020,1029,native,0.346993,134.85,12.004263
1030,1039,mori,0.312438,149.76,12.003971
1030,1039,native,0.347275,134.74,12.003971
1040,1049,mori,0.326448,143.33,11.996538
1040,1049,native,0.34715,134.78,11.996538
1050,1059,mori,0.311075,150.41,11.988379
1050,1059,native,0.347464,134.66,11.988379
1060,1069,mori,0.309276,151.29,12.002563
1060,1069,native,0.346792,134.92,12.002563
1070,1079,mori,0.295881,158.14,11.998832
1070,1079,native,0.34682,134.91,11.998832
1080,1089,mori,0.30539,153.21,11.995458
1080,1089,native,0.347402,134.69,11.995458
1090,1099,mori,0.313437,149.28,12.010755
1090,1099,native,0.347403,134.69,12.010755
1100,1109,mori,0.328812,142.3,11.996821
1100,1109,native,0.347273,134.74,11.996821
1110,1119,mori,0.315347,148.38,11.994484
1110,1119,native,0.346959,134.86,11.994484
1120,1129,mori,0.314567,148.75,12.005465
1120,1129,native,0.346941,134.87,12.005465
1130,1139,mori,0.313996,149.02,11.976837
1130,1139,native,0.346397,135.08,11.976837
1140,1149,mori,0.316941,147.63,12.007624
1140,1149,native,0.346894,134.88,12.007624
1150,1159,mori,0.314808,148.63,12.003984
1150,1159,native,0.346936,134.87,12.003984
1160,1169,mori,0.314385,148.83,12.012174
1160,1169,native,0.348425,134.29,12.012174
1170,1179,mori,0.314893,148.59,12.002915
1170,1179,native,0.3476,134.61,12.002915
1180,1189,mori,0.303289,154.28,11.985971
1180,1189,native,0.348125,134.41,11.985971
1190,1199,mori,0.300723,155.59,11.995791
1190,1199,native,0.349074,134.04,11.995791
1200,1209,mori,0.301003,155.45,12.0207
1200,1209,native,0.349707,133.8,12.0207
1210,1219,mori,0.301323,155.28,12.00476
1210,1219,native,0.349334,133.94,12.00476
1220,1229,mori,0.300526,155.69,11.983839
1220,1229,native,0.347539,134.63,11.983839
1230,1239,mori,0.303335,154.25,12.04379
1230,1239,native,0.347932,134.48,12.04379
1240,1249,mori,0.303502,154.17,11.989935
1240,1249,native,0.350863,133.36,11.989935
1250,1259,mori,0.30332,154.26,12.015607
1250,1259,native,0.351925,132.96,12.015607
1260,1269,mori,0.320071,146.19,11.9892
1260,1269,native,0.349661,133.82,11.9892
1270,1279,mori,0.302139,154.86,11.992508
1270,1279,native,0.348941,134.09,11.992508
1280,1289,mori,0.331669,141.08,11.976299
1280,1289,native,0.351088,133.27,11.976299
1290,1299,mori,0.30337,154.24,11.988185
