model,dtype,kernel,tokens,qp,repetitions,total_median_us,total_min_us,total_max_us,p95_rank_max_median_us,total_runs_us
r1,bf16,v2,1024,2,3,1579.7122806824486,1574.4715327846593,1583.476377458408,1653.2601833343506,"[1574.4715327846593, 1583.476377458408, 1579.7122806824486]"
r1,bf16,v2,1024,4,3,1495.3637238078077,1492.5821270665217,1501.1893713782574,1582.3153734207153,"[1495.3637238078077, 1492.5821270665217, 1501.1893713782574]"
r1,bf16,v2,1024,8,3,1359.2356068949248,1356.7428866337086,1362.7143157324915,1471.7203974723816,"[1356.7428866337086, 1362.7143157324915, 1359.2356068949248]"
r1,bf16,v2,4096,1,3,5601.570471093572,5596.0871361452955,5602.005831640342,5625.312900543213,"[5601.570471093572, 5596.0871361452955, 5602.005831640342]"
r1,bf16,v2,4096,2,3,6850.438574264789,6787.758147922055,6865.747699192886,7389.67866897583,"[6865.747699192886, 6850.438574264789, 6787.758147922055]"
r1,bf16,v2,4096,4,3,5857.366238174767,5841.3217964357345,6275.948948644358,6864.0392780303955,"[5857.366238174767, 6275.948948644358, 5841.3217964357345]"
r1,bf16,v2,4096,8,3,4744.505311137644,4735.755361359695,4757.934539482511,5171.466875076294,"[4735.755361359695, 4744.505311137644, 4757.934539482511]"
r1,bf16,v2,8192,1,3,10933.247011283349,10921.2461350293,10939.805614537207,10972.256565093994,"[10933.247011283349, 10939.805614537207, 10921.2461350293]"
r1,bf16,v2,8192,2,3,12741.172754559024,12718.404978513718,12797.789889162985,14134.803295135498,"[12741.172754559024, 12718.404978513718, 12797.789889162985]"
r1,bf16,v2,8192,4,3,11149.788002515661,11120.642663589839,11226.187541567046,12687.022018432617,"[11149.788002515661, 11120.642663589839, 11226.187541567046]"
r1,bf16,v2,8192,8,3,10090.950486475023,9653.897521824672,12712.003302985224,14990.160417556757,"[10090.950486475023, 9653.897521824672, 12712.003302985224]"
r1,bf16,v2,16384,1,3,21641.063492873618,21634.112403310577,21642.85951647265,21668.61343383789,"[21634.112403310577, 21641.063492873618, 21642.85951647265]"
r1,bf16,v2,16384,2,3,25260.519992688605,25161.946523806146,28399.082720279694,26535.42881011963,"[28399.082720279694, 25161.946523806146, 25260.519992688605]"
r1,bf16,v2,16384,4,3,21887.886100801927,21816.670678812883,21965.262722352454,23347.408866882324,"[21965.262722352454, 21887.886100801927, 21816.670678812883]"
r1,bf16,v2,16384,8,3,59198.91391643162,18515.832302899194,98113.50521239742,132943.36757659912,"[18515.832302899194, 59198.91391643162, 98113.50521239742]"
r1,bf16,v2_ll,4,1,3,96.75925628057328,95.99659457032023,100.72035099989895,105.30960038304329,"[100.72035099989895, 96.75925628057328, 95.99659457032023]"
r1,bf16,v2_ll,4,2,3,107.00048890831913,101.86156876995389,108.43733604194531,112.19739839434624,"[107.00048890831913, 108.43733604194531, 101.86156876995389]"
r1,bf16,v2_ll,4,4,3,119.65582282924703,119.47927108548325,122.31784676811819,130.9809997677803,"[119.47927108548325, 119.65582282924703, 122.31784676811819]"
r1,bf16,v2_ll,4,8,3,152.64551010753573,151.69094144045536,155.52285951080506,162.92400062084198,"[155.52285951080506, 152.64551010753573, 151.69094144045536]"
r1,bf16,v2_ll,16,1,3,108.55441769295982,108.48106645400925,108.92949111213714,115.64499735832214,"[108.92949111213714, 108.55441769295982, 108.48106645400925]"
r1,bf16,v2_ll,16,2,3,110.32318507706553,110.05025185997887,110.63988557374427,116.34940132498741,"[110.32318507706553, 110.05025185997887, 110.63988557374427]"
r1,bf16,v2_ll,16,4,3,125.99917867317282,125.3108378933293,126.54619997945325,133.4604024887085,"[126.54619997945325, 125.3108378933293, 125.99917867317282]"
r1,bf16,v2_ll,16,8,3,157.98575625401634,157.16887263838072,160.19439385754282,166.38000160455704,"[160.19439385754282, 157.16887263838072, 157.98575625401634]"
r1,bf16,v2_ll,64,1,3,200.65464161272192,200.53903374756717,201.98228834839216,211.77100092172623,"[200.53903374756717, 201.98228834839216, 200.65464161272192]"
r1,bf16,v2_ll,64,2,3,201.54409433297556,200.72776000497157,201.98055106247293,209.35540050268173,"[201.54409433297556, 201.98055106247293, 200.72776000497157]"
r1,bf16,v2_ll,64,4,3,210.04806633974457,209.36341118067503,211.50792189392035,221.84239625930786,"[209.36341118067503, 211.50792189392035, 210.04806633974457]"
r1,bf16,v2_ll,64,8,3,225.1204630231549,225.0865924268447,225.19529906326326,234.49940383434296,"[225.0865924268447, 225.19529906326326, 225.1204630231549]"
r1,bf16,v2_ll,256,1,3,504.4384665851449,503.5844472847108,504.9329297938224,529.0606051683426,"[503.5844472847108, 504.9329297938224, 504.4384665851449]"
r1,bf16,v2_ll,256,2,3,516.2716720189,516.2003627368089,516.8020011664464,546.9315946102142,"[516.2003627368089, 516.8020011664464, 516.2716720189]"
r1,bf16,v2_ll,256,4,3,496.98579224661506,496.98535658033757,500.0494404792272,527.9088050127029,"[496.98579224661506, 500.0494404792272, 496.98535658033757]"
r1,bf16,v2_ll,256,8,3,512.6957966592805,508.8143218308687,516.8344796603096,547.077402472496,"[512.6957966592805, 516.8344796603096, 508.8143218308687]"
r1,bf16,v2_ll,1024,1,3,1629.7353635831125,1616.4598109136368,1636.3925859332085,1722.9795455932617,"[1629.7353635831125, 1636.3925859332085, 1616.4598109136368]"
r1,bf16,v2_ll,1024,2,3,1579.5939157492128,1579.4304175109698,1611.0491890074877,1669.2115902900696,"[1579.4304175109698, 1579.5939157492128, 1611.0491890074877]"
r1,bf16,v2_ll,1024,4,3,1547.3400945935784,1542.0362348186559,1551.6933711438344,1681.0834050178528,"[1551.6933711438344, 1542.0362348186559, 1547.3400945935784]"
r1,bf16,v2_ll,1024,8,3,1451.6668245196342,1441.5959470487874,1454.342019326728,1544.3163752555847,"[1441.5959470487874, 1454.342019326728, 1451.6668245196342]"
r1,bf16,v2_ll,4096,1,3,5825.272646443597,5815.852474549721,5840.111544933812,6033.819913864136,"[5825.272646443597, 5815.852474549721, 5840.111544933812]"
r1,bf16,v2_ll,4096,2,3,6373.639864140543,6351.899721499147,6395.5509040890065,6763.149070739746,"[6351.899721499147, 6395.5509040890065, 6373.639864140543]"
r1,bf16,v2_ll,4096,4,3,6307.967527673162,6227.795431840009,6340.531497166075,6690.482425689697,"[6227.795431840009, 6340.531497166075, 6307.967527673162]"
r1,bf16,v2_ll,4096,8,3,5372.769927156382,5330.862679615103,5420.843327867574,5620.929002761841,"[5372.769927156382, 5420.843327867574, 5330.862679615103]"
r1,bf16,v2_ll,8192,1,3,11402.108423668762,11374.703036300067,21108.32450204882,11691.800308227539,"[11402.108423668762, 21108.32450204882, 11374.703036300067]"
r1,bf16,v2_ll,8192,2,3,12333.01730608118,12332.476145234601,12405.276272831292,12905.15251159668,"[12333.01730608118, 12332.476145234601, 12405.276272831292]"
r1,bf16,v2_ll,8192,4,3,11091.098243820255,11057.751369887384,11107.95743609297,11578.029918670654,"[11091.098243820255, 11057.751369887384, 11107.95743609297]"
r1,bf16,v2_ll,8192,8,3,11965.084302014318,11336.195913368258,12966.890932157123,19540.75198173523,"[12966.890932157123, 11965.084302014318, 11336.195913368258]"
r1,bf16,v2_ll,16384,1,3,22599.30829549658,22508.220093003634,22618.029372445468,23141.815185546875,"[22618.029372445468, 22508.220093003634, 22599.30829549658]"
r1,bf16,v2_ll,16384,2,3,25538.127769683968,25384.56243893196,25623.652334870963,26524.928092956543,"[25538.127769683968, 25384.56243893196, 25623.652334870963]"
r1,bf16,v2_ll,16384,4,3,22188.785433769226,22115.118947522395,22209.14605362662,22950.651359558105,"[22209.14605362662, 22115.118947522395, 22188.785433769226]"
r1,bf16,v2_ll,16384,8,3,46378.79182038636,45961.40258065586,47592.64018001228,88685.1291656494,"[46378.79182038636, 47592.64018001228, 45961.40258065586]"
r1,fp8,v2,4,1,3,161.86833139187817,157.8775405209383,163.1971505422402,168.05179864168167,"[161.86833139187817, 163.1971505422402, 157.8775405209383]"
r1,fp8,v2,4,2,3,170.1359260779131,163.83843678692034,171.3682064979241,176.67700201272964,"[171.3682064979241, 170.1359260779131, 163.83843678692034]"
r1,fp8,v2,4,4,3,187.94122368803826,183.53843477811535,190.09781194497543,194.2033976316452,"[190.09781194497543, 187.94122368803826, 183.53843477811535]"
r1,fp8,v2,4,8,3,218.82113112650555,210.88293069523985,219.70283773181768,225.9400025010109,"[219.70283773181768, 218.82113112650555, 210.88293069523985]"
r1,fp8,v2,16,1,3,175.94264831458187,172.11505776303338,177.35627507951497,182.1729987859726,"[177.35627507951497, 175.94264831458187, 172.11505776303338]"
r1,fp8,v2,16,2,3,179.0606978766877,172.45271525763232,181.13077340390663,186.10039502382278,"[181.13077340390663, 179.0606978766877, 172.45271525763232]"
r1,fp8,v2,16,4,3,194.74873020602712,186.4468292975477,195.78931861203807,199.75599646568298,"[194.74873020602712, 195.78931861203807, 186.4468292975477]"
r1,fp8,v2,16,8,3,225.7997621942697,217.44824517197137,228.45910500799275,234.68319922685623,"[228.45910500799275, 225.7997621942697, 217.44824517197137]"
r1,fp8,v2,64,1,3,232.7090768496795,228.89490936208387,233.98271705634122,241.01859629154205,"[232.7090768496795, 233.98271705634122, 228.89490936208387]"
r1,fp8,v2,64,2,3,232.35286349944514,228.63637461680275,236.0758445835833,242.73919761180878,"[232.35286349944514, 236.0758445835833, 228.63637461680275]"
r1,fp8,v2,64,4,3,242.93149283541175,235.0809455945574,246.5998421198335,250.93039870262146,"[242.93149283541175, 246.5998421198335, 235.0809455945574]"
r1,fp8,v2,64,8,3,256.51229643423494,247.58050367557283,258.6676908881757,269.73000317811966,"[256.51229643423494, 258.6676908881757, 247.58050367557283]"
r1,fp8,v2,256,1,3,460.6552938288399,460.43094380855047,465.2769190162934,471.764999628067,"[460.43094380855047, 465.2769190162934, 460.6552938288399]"
