model,dtype,tokens,hidden,topk,experts_per_rank,kernel,selected_qp,accepted,recommended_qp,baseline_median_us,candidate_median_us,improvement_pct,candidate,recommended,paired_wins,bench_mean_pass,bench_tail_pass,baseline_us,candidate_us
v4_pro,fp8,16,7168,6,24,v2,1,False,2,171.9354889757032,157.26456429873562,8.532807720133206,"[[64, 42, 8], [16, 8, 8]]","[[96, 64, 8], [96, 64, 8]]","[True, True, False]",True,False,"[170.40776267872545, 173.5425058126064, 171.9354889757032]","[157.26456429873562, 156.8366893856176, 160.89406440933718]"
v4_pro,fp8,16,7168,6,24,v2_ll,1,False,2,111.3915191963315,112.03814202373654,-0.5804955638187614,"[[80, 48, 8], [80, 48, 8]]","[[96, 64, 8], [96, 64, 8]]","[True, True, False]",False,False,"[111.3915191963315, 126.23770237129567, 111.19479926078228]","[112.03814202373654, 103.57163769417795, 112.94906213879585]"
v4_pro,fp8,64,7168,6,24,v2,1,False,2,226.65916746161108,211.44990247256797,6.710191852980785,"[[80, 48, 8], [16, 10, 8]]","[[96, 64, 8], [96, 64, 8]]","[True, False, True]",True,True,"[226.09274538940397, 226.65916746161108, 226.735122212819]","[211.44990247256797, 212.7853677897104, 210.37111145540558]"
v4_pro,fp8,64,7168,6,24,v2_ll,1,False,2,176.95546468141777,163.75022995735293,7.462462234686518,"[[80, 48, 8], [32, 21, 8]]","[[96, 64, 8], [96, 64, 8]]","[True, False, True]",False,False,"[176.95546468141777, 9744.042186548228, 176.08925802151447]","[163.75022995735293, 9570.929924612223, 162.74002543650568]"
v4_pro,fp8,256,7168,6,24,v2,4,True,4,436.9679221498041,399.1121892207142,8.663275039240059,"[[64, 42, 16], [32, 21, 16]]","[[64, 42, 16], [32, 21, 16]]","[True, True, True]",True,True,"[430.33420419770067, 438.6869126706031, 436.9679221498041]","[394.81824935124865, 399.1121892207142, 415.7124433730697]"
v4_pro,fp8,256,7168,6,24,v2_ll,1,True,1,412.6488960926132,361.99688256300726,12.274845276270362,"[[80, 48, 8], [16, 10, 16]]","[[80, 48, 8], [16, 10, 16]]","[True, True, True]",True,True,"[412.6488960926132, 412.76485858292415, 409.963039488628]","[361.99688256300726, 362.10449670987396, 361.8687451014231]"
v4_pro,fp8,1024,7168,6,24,v2,4,False,2,1249.514295558991,1186.3159765971118,5.057830805657693,"[[80, 53, 8], [80, 48, 8]]","[[96, 64, 8], [96, 64, 8]]","[True, False, False]",False,True,"[1243.2382358559246, 1251.39451065454, 1249.514295558991]","[1178.0627926105055, 1186.3159765971118, 1261.1397746308096]"
v4_pro,fp8,1024,7168,6,24,v2_ll,8,True,8,1248.2887205892596,991.7113653801639,20.554327775066117,"[[80, 53, 8], [32, 21, 8]]","[[80, 53, 8], [32, 21, 8]]","[True, True, True]",True,True,"[1247.157592005257, 1277.8492559967883, 1248.2887205892596]","[991.7113653801639, 1073.0098103140963, 989.4596849536074]"
v4_pro,fp8,4096,7168,6,24,v2,8,True,8,5158.008847514103,3526.8687156253845,31.623445792940906,"[[64, 42, 8], [80, 64, 8]]","[[64, 42, 8], [80, 64, 8]]","[True, True, True]",True,True,"[5179.6914182346445, 5158.008847514103, 5130.101081626169]","[3496.6555091327637, 3893.501457469217, 3526.8687156253845]"
v4_pro,fp8,4096,7168,6,24,v2_ll,8,True,8,5151.958071979983,3513.4434394281484,31.803726071903505,"[[80, 53, 8], [32, 21, 16]]","[[80, 53, 8], [32, 21, 16]]","[True, True, True]",True,True,"[5151.958071979983, 5005.632946717328, 5184.297416487644]","[3504.05168096567, 3973.2671144964365, 3513.4434394281484]"
v4_pro,fp8,8192,7168,6,24,v2,8,True,8,9863.170865794707,6227.6654580029945,36.859398029892986,"[[32, 21, 16], [64, 32, 16]]","[[32, 21, 16], [64, 32, 16]]","[True, True, True]",True,True,"[24449.777508604115, 9804.597586393356, 9863.170865794707]","[6217.696495097259, 7150.2723639895175, 6227.6654580029945]"
v4_pro,fp8,8192,7168,6,24,v2_ll,8,True,8,9620.457751997586,7390.906711590701,23.175103491764126,"[[64, 42, 16], [32, 16, 8]]","[[64, 42, 16], [32, 16, 8]]","[True, True, True]",True,True,"[9620.457751997586, 9540.572225019849, 9627.053451949152]","[7382.954511149176, 7852.276563644409, 7390.906711590701]"
v4_pro,fp8,16384,7168,6,24,v2,8,False,2,19831.426582459746,13278.004897565677,33.045639241557936,"[[80, 53, 16], [80, 48, 8]]","[[96, 64, 8], [96, 64, 8]]","[True, True, True]",False,False,"[51202.17722551576, 19831.426582459746, 19743.09443708124]","[13245.164779239687, 65343.76191322146, 13278.004897565677]"
v4_pro,fp8,16384,7168,6,24,v2_ll,8,False,2,18930.24600939504,20303.381529861483,-7.253659143071678,"[[80, 48, 8], [32, 21, 4]]","[[96, 64, 8], [96, 64, 8]]","[False, False, False]",False,True,"[18930.24600939504, 18740.53934319266, 19009.61572548439]","[20303.381529861483, 20604.77374853759, 20095.112660321694]"
